CV,ML,Eval,Spotify,E2E
17806.806564331055,5.634784698486328,37.40811347961426,22780.70330619812,52765.5291557312
16807.00659751892,2.0084381103515625,54.66723442077637,7694.07320022583,24565.78779220581
16567.49653816223,3.3681392669677734,69.1065788269043,9622.798681259155,26271.228075027466
18070.05786895752,2.173185348510742,43.68901252746582,9881.131649017334,28004.67824935913
16752.09903717041,3.254413604736328,43.248891830444336,9778.655767440796,26594.599962234497
16874.05514717102,4.132270812988281,41.9764518737793,10072.97158241272,27000.9605884552
17712.485551834106,2.52532958984375,39.12615776062012,10176.013231277466,27937.22701072693
16518.791675567627,0.9980201721191406,50.1551628112793,5486.425399780273,22066.229820251465
20934.72671508789,2.003908157348633,40.004730224609375,8610.907793045044,29601.871490478516
19915.555238723755,0.0,65.57106971740723,10491.766929626465,30500.853538513184
19443.070650100708,1.0285377502441406,72.12400436401367,9863.895416259766,29399.46961402893
20574.447870254517,8.861303329467773,67.2907829284668,10325.452089309692,30986.358165740967
19643.015384674072,7.449626922607422,56.86330795288086,6037.489891052246,25755.138874053955
